time,uv_index_max (),uv_index_clear_sky_max (),sunshine_duration (s),daylight_duration (s),weather_code (wmo code),precipitation_probability_max (%),precipitation_hours (h),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h)
2017-08-22,NaN,NaN,NaN,45683.15,NaN,NaN,0,NaN,NaN,NaN
2017-08-23,NaN,NaN,NaN,45620.87,NaN,NaN,0,NaN,NaN,NaN
2017-08-24,NaN,NaN,NaN,45558.12,NaN,NaN,0,NaN,NaN,NaN
2017-08-25,NaN,NaN,NaN,45494.93,NaN,NaN,0,NaN,NaN,NaN
2017-08-26,NaN,NaN,NaN,45431.37,NaN,NaN,0,NaN,NaN,NaN
2017-08-27,NaN,NaN,NaN,45367.47,NaN,NaN,0,NaN,NaN,NaN
2017-08-28,NaN,NaN,NaN,45303.29,NaN,NaN,0,NaN,NaN,NaN
2017-08-29,NaN,NaN,NaN,45238.86,NaN,NaN,0,NaN,NaN,NaN
2017-08-30,NaN,NaN,NaN,45174.23,NaN,NaN,0,NaN,NaN,NaN
2017-08-31,NaN,NaN,NaN,45109.45,NaN,NaN,0,NaN,NaN,NaN
2017-09-01,NaN,NaN,NaN,45044.56,NaN,NaN,0,NaN,NaN,NaN
2017-09-02,NaN,NaN,NaN,44979.6,NaN,NaN,0,NaN,NaN,NaN
2017-09-03,NaN,NaN,NaN,44914.62,NaN,NaN,0,NaN,NaN,NaN
2017-09-04,NaN,NaN,NaN,44849.66,NaN,NaN,0,NaN,NaN,NaN
2017-09-05,NaN,NaN,NaN,44784.76,NaN,NaN,0,NaN,NaN,NaN
2017-09-06,NaN,NaN,NaN,44719.88,NaN,NaN,0,NaN,NaN,NaN
2017-09-07,NaN,NaN,NaN,44654.59,NaN,NaN,0,NaN,NaN,NaN
2017-09-08,NaN,NaN,NaN,44588.84,NaN,NaN,0,NaN,NaN,NaN
2017-09-09,NaN,NaN,NaN,44522.68,NaN,NaN,0,NaN,NaN,NaN
2017-09-10,NaN,NaN,NaN,44456.17,NaN,NaN,0,NaN,NaN,NaN
2017-09-11,NaN,NaN,NaN,44389.34,NaN,NaN,0,NaN,NaN,NaN
2017-09-12,NaN,NaN,NaN,44322.25,NaN,NaN,0,NaN,NaN,NaN
2017-09-13,NaN,NaN,NaN,44254.92,NaN,NaN,0,NaN,NaN,NaN
2017-09-14,NaN,NaN,NaN,44187.4,NaN,NaN,0,NaN,NaN,NaN
2017-09-15,NaN,NaN,NaN,44119.75,NaN,NaN,0,NaN,NaN,NaN
2017-09-16,NaN,NaN,NaN,44052,NaN,NaN,0,NaN,NaN,NaN
2017-09-17,NaN,NaN,NaN,43984.2,NaN,NaN,0,NaN,NaN,NaN
2017-09-18,NaN,NaN,NaN,43916.38,NaN,NaN,0,NaN,NaN,NaN
2017-09-19,NaN,NaN,NaN,43848.58,NaN,NaN,0,NaN,NaN,NaN
2017-09-20,NaN,NaN,NaN,43780.86,NaN,NaN,0,NaN,NaN,NaN
2017-09-21,NaN,NaN,NaN,43713.25,NaN,NaN,0,NaN,NaN,NaN
2017-09-22,NaN,NaN,NaN,43645.79,NaN,NaN,0,NaN,NaN,NaN
2017-09-23,NaN,NaN,NaN,43578.54,NaN,NaN,0,NaN,NaN,NaN
2017-09-24,NaN,NaN,NaN,43511.51,NaN,NaN,0,NaN,NaN,NaN
2017-09-25,NaN,NaN,NaN,43444.77,NaN,NaN,0,NaN,NaN,NaN
2017-09-26,NaN,NaN,NaN,43378.25,NaN,NaN,0,NaN,NaN,NaN
2017-09-27,NaN,NaN,NaN,43311.52,NaN,NaN,0,NaN,NaN,NaN
2017-09-28,NaN,NaN,NaN,43244.53,NaN,NaN,0,NaN,NaN,NaN
2017-09-29,NaN,NaN,NaN,43177.32,NaN,NaN,0,NaN,NaN,NaN
2017-09-30,NaN,NaN,NaN,43109.94,NaN,NaN,0,NaN,NaN,NaN
2017-10-01,NaN,NaN,NaN,43042.44,NaN,NaN,0,NaN,NaN,NaN
2017-10-02,NaN,NaN,NaN,42974.86,NaN,NaN,0,NaN,NaN,NaN
2017-10-03,NaN,NaN,NaN,42907.24,NaN,NaN,0,NaN,NaN,NaN
2017-10-04,NaN,NaN,NaN,42839.64,NaN,NaN,0,NaN,NaN,NaN
2017-10-05,NaN,NaN,NaN,42772.1,NaN,NaN,0,NaN,NaN,NaN
2017-10-06,NaN,NaN,NaN,42704.66,NaN,NaN,0,NaN,NaN,NaN
2017-10-07,NaN,NaN,NaN,42637.37,NaN,NaN,0,NaN,NaN,NaN
2017-10-08,NaN,NaN,NaN,42570.28,NaN,NaN,0,NaN,NaN,NaN
2017-10-09,NaN,NaN,NaN,42503.44,NaN,NaN,0,NaN,NaN,NaN
2017-10-10,NaN,NaN,NaN,42436.89,NaN,NaN,0,NaN,NaN,NaN
2017-10-11,NaN,NaN,NaN,42370.68,NaN,NaN,0,NaN,NaN,NaN
2017-10-12,NaN,NaN,NaN,42304.87,NaN,NaN,0,NaN,NaN,NaN
2017-10-13,NaN,NaN,NaN,42239.49,NaN,NaN,0,NaN,NaN,NaN
